                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1643,                0.70335,                 1.1331,                0.88702,                0.87879,                0.91985,                0.53668,                 1.2997,                0.66573,                 1.2482,               0.001514,               0.001514,               0.001514
                     35,                 1.2081,                0.68607,                  1.162,                0.89643,                0.85241,                0.90463,                0.53785,                  1.289,                0.72597,                 1.2648,              0.0014869,              0.0014869,              0.0014869
                     36,                  1.134,                0.67004,                 1.1193,                0.88999,                0.87879,                0.90511,                0.55297,                 1.3647,                0.76151,                 1.2993,              0.0014595,              0.0014595,              0.0014595
                     37,                 1.1403,                 0.6601,                 1.1311,                0.89007,                0.85878,                0.88108,                0.51484,                 1.3871,                0.66592,                 1.3502,              0.0014315,              0.0014315,              0.0014315
                     38,                 1.1144,                0.66078,                 1.1231,                 0.8941,                0.86364,                0.91523,                0.55003,                 1.3494,                0.66417,                 1.2839,              0.0014032,              0.0014032,              0.0014032
                     39,                 1.1232,                   0.68,                 1.1184,                0.88713,                0.89317,                0.92397,                0.55372,                  1.357,                0.70071,                 1.2906,              0.0013744,              0.0013744,              0.0013744
                     40,                  1.146,                0.64741,                 1.1196,                0.88501,                0.87121,                0.93053,                0.54909,                 1.4224,                0.71254,                 1.3037,              0.0013454,              0.0013454,              0.0013454
                     41,                 1.1494,                0.66065,                 1.1151,                0.91481,                0.88636,                0.91675,                0.56634,                 1.3602,                 0.6591,                 1.2791,              0.0013159,              0.0013159,              0.0013159
                     42,                 1.1203,                 0.6341,                 1.0955,                0.87263,                0.91667,                0.90718,                0.55483,                 1.3469,                0.67038,                 1.3107,              0.0012862,              0.0012862,              0.0012862
                     43,                 1.0928,                0.63527,                 1.0942,                0.90746,                0.89148,                0.93726,                0.57364,                  1.326,                0.62072,                 1.2979,              0.0012562,              0.0012562,              0.0012562
                     44,                  1.111,                0.63097,                 1.1153,                0.87153,                0.87879,                0.91734,                0.56932,                 1.3032,                0.64211,                 1.2669,               0.001226,               0.001226,               0.001226
                     45,                 1.1519,                0.62953,                 1.1267,                0.89894,                0.90152,                0.92619,                0.53462,                  1.396,                 0.6558,                  1.278,              0.0011955,              0.0011955,              0.0011955
                     46,                 1.0931,                0.61058,                  1.097,                0.90383,                0.90909,                0.94408,                0.56261,                 1.4116,                0.64893,                 1.3326,              0.0011649,              0.0011649,              0.0011649
                     47,                 1.1012,                 0.6062,                 1.1117,                0.92154,                0.88978,                0.93992,                0.57519,                 1.3084,                0.63976,                 1.2733,              0.0011341,              0.0011341,              0.0011341
                     48,                 1.0919,                0.61523,                 1.0942,                0.91035,                0.86364,                0.92119,                0.52844,                 1.3622,                0.67408,                 1.2693,              0.0011032,              0.0011032,              0.0011032
                     49,                 1.1176,                0.62768,                  1.112,                0.90567,                0.87286,                0.92726,                0.55693,                 1.3714,                0.65737,                  1.284,              0.0010722,              0.0010722,              0.0010722
                     50,                 1.0636,                0.60937,                 1.1017,                0.92758,                 0.8733,                0.93785,                0.56232,                 1.3619,                0.66119,                 1.2844,              0.0010411,              0.0010411,              0.0010411
                     51,                 1.0629,                0.59121,                 1.0824,                0.90607,                0.89394,                0.94033,                0.56329,                 1.2939,                0.64154,                 1.2306,                0.00101,                0.00101,                0.00101
                     52,                 1.0529,                 0.5627,                 1.0858,                0.91132,                0.85638,                0.90292,                0.54725,                 1.3035,                0.67789,                 1.2891,              0.0009789,              0.0009789,              0.0009789
                     53,                 1.0604,                0.56845,                 1.0903,                0.87349,                0.88927,                0.92685,                0.54929,                 1.3342,                0.69199,                 1.2943,             0.00094784,             0.00094784,             0.00094784
                     54,                 1.0533,                0.56862,                 1.0784,                0.84816,                0.90909,                0.93215,                0.55096,                 1.3909,                0.64057,                 1.2552,             0.00091683,             0.00091683,             0.00091683
                     55,                 1.0257,                0.55459,                 1.0722,                0.89304,                0.88549,                0.93552,                0.57479,                 1.3933,                 0.6326,                 1.3176,             0.00088592,             0.00088592,             0.00088592
                     56,                 1.0237,                0.54102,                 1.0666,                0.86807,                0.89725,                 0.9084,                0.55736,                 1.3388,                0.65216,                 1.2401,             0.00085513,             0.00085513,             0.00085513
                     57,                 1.0039,                0.52044,                  1.062,                0.91472,                0.88636,                 0.9198,                0.55475,                  1.338,                0.63228,                 1.2609,             0.00082449,             0.00082449,             0.00082449
                     58,                 1.0013,                0.51863,                 1.0675,                0.91998,                0.88636,                 0.9328,                0.58662,                 1.3127,                0.62871,                 1.2483,             0.00079404,             0.00079404,             0.00079404
                     59,                0.99797,                0.52566,                 1.0674,                0.91297,                0.89394,                0.94423,                0.57756,                 1.3574,                0.60896,                 1.2801,              0.0007638,              0.0007638,              0.0007638
                     60,                0.99959,                0.52487,                 1.0442,                0.89195,                0.88636,                0.93044,                0.58323,                 1.2606,                0.65875,                 1.2112,              0.0007338,              0.0007338,              0.0007338
                     61,                0.94835,                0.50906,                 1.0547,                 0.9027,                0.90152,                0.92515,                0.56737,                 1.3557,                0.63708,                 1.3352,             0.00070407,             0.00070407,             0.00070407
                     62,                 1.0061,                0.50115,                 1.0564,                 0.9194,                0.90152,                0.94903,                0.59144,                 1.3225,                0.59623,                 1.2863,             0.00067465,             0.00067465,             0.00067465
                     63,                0.98491,                0.50775,                 1.0508,                0.87807,                0.92744,                0.93991,                0.57622,                 1.3428,                 0.6309,                 1.2844,             0.00064556,             0.00064556,             0.00064556
                     64,                0.95601,                0.49964,                  1.034,                0.92092,                0.88221,                  0.939,                0.59572,                 1.3293,                0.61223,                 1.2931,             0.00061682,             0.00061682,             0.00061682
                     65,                0.93467,                0.48264,                 1.0292,                0.88832,                0.92424,                0.91714,                0.55843,                 1.3548,                0.58999,                 1.2652,             0.00058848,             0.00058848,             0.00058848
                     66,                0.92501,                0.49356,                 1.0419,                0.92159,                0.88636,                0.93456,                0.56548,                 1.3667,                0.58593,                 1.2979,             0.00056055,             0.00056055,             0.00056055
                     67,                0.94011,                0.48352,                 1.0485,                0.91271,                0.90152,                0.93122,                0.56575,                 1.3318,                0.58327,                 1.2666,             0.00053306,             0.00053306,             0.00053306
                     68,                0.92014,                0.47878,                 1.0268,                0.91616,                0.90909,                 0.9394,                0.57255,                 1.3554,                0.60247,                 1.2645,             0.00050605,             0.00050605,             0.00050605
                     69,                0.90404,                0.46382,                 1.0209,                0.90948,                0.91342,                0.93918,                0.58602,                 1.3033,                0.59473,                 1.2458,             0.00047953,             0.00047953,             0.00047953
                     70,                0.91655,                0.47211,                 1.0221,                0.89527,                 0.9067,                0.94651,                0.60021,                 1.2668,                 0.5994,                 1.2223,             0.00045354,             0.00045354,             0.00045354
                     71,                0.89205,                0.45385,                 1.0261,                 0.9041,                0.91667,                0.94491,                0.59494,                 1.2725,                0.58886,                 1.2207,             0.00042809,             0.00042809,             0.00042809
                     72,                0.87576,                0.45843,                 1.0017,                0.90068,                0.90909,                0.93389,                0.57694,                 1.2906,                0.60764,                 1.2409,             0.00040322,             0.00040322,             0.00040322
                     73,                 0.8765,                0.44708,                 1.0117,                0.90187,                0.93182,                0.92406,                0.57662,                 1.3153,                0.59786,                 1.2839,             0.00037895,             0.00037895,             0.00037895
                     74,                0.89073,                0.44586,                 1.0139,                0.89766,                0.93182,                0.94698,                0.58801,                 1.3249,                0.59051,                 1.2844,              0.0003553,              0.0003553,              0.0003553
                     75,                0.88659,                0.45156,                 1.0008,                0.92912,                0.89371,                0.91918,                0.57144,                 1.3232,                0.62639,                  1.277,              0.0003323,              0.0003323,              0.0003323
                     76,                0.85424,                0.44601,                 1.0014,                0.88721,                0.91667,                0.91768,                0.57485,                  1.299,                0.59329,                 1.2749,             0.00030996,             0.00030996,             0.00030996
