                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.59995,                0.28349,                0.93091,                0.99391,                0.98657,                 0.9947,                0.80822,                0.81692,                0.27474,                0.95346,                0.00307,                0.00307,                0.00307
                     37,                0.59852,                0.28118,                0.92924,                0.99366,                0.98767,                 0.9947,                0.81152,                0.81658,                 0.2736,                0.95315,               0.002872,               0.002872,               0.002872
                     38,                0.58735,                0.27606,                0.92364,                0.99416,                0.98696,                0.99471,                0.81134,                0.81663,                0.27352,                0.95121,               0.002674,               0.002674,               0.002674
                     39,                0.58743,                0.27378,                0.92268,                0.99316,                0.98793,                0.99473,                0.81217,                0.81744,                0.27253,                0.95031,               0.002476,               0.002476,               0.002476
                     40,                 0.5803,                0.26999,                0.92372,                0.99239,                0.98866,                0.99471,                0.81194,                0.81673,                0.27183,                0.95057,               0.002278,               0.002278,               0.002278
                     41,                0.57747,                0.26729,                0.92176,                0.99241,                 0.9885,                0.99471,                 0.8128,                0.81729,                0.27123,                 0.9509,                0.00208,                0.00208,                0.00208
                     42,                0.57287,                0.26373,                0.91848,                0.99286,                 0.9884,                0.99473,                0.81283,                0.81776,                0.27125,                0.95106,               0.001882,               0.001882,               0.001882
                     43,                0.56967,                0.26202,                0.91795,                0.99303,                 0.9884,                0.99473,                0.81316,                0.81812,                0.27163,                0.95126,               0.001684,               0.001684,               0.001684
                     44,                0.56554,                0.25857,                 0.9189,                0.99342,                0.98883,                0.99476,                0.81284,                0.81826,                0.27141,                0.95126,               0.001486,               0.001486,               0.001486
                     45,                0.57941,                0.24612,                0.89249,                0.99367,                0.98853,                0.99477,                0.81367,                0.81786,                0.27093,                0.95092,               0.001288,               0.001288,               0.001288
                     46,                0.56398,                0.23994,                0.88665,                0.99291,                0.98877,                0.99478,                0.81406,                0.81714,                0.27096,                0.95028,                0.00109,                0.00109,                0.00109
                     47,                0.55592,                0.23449,                0.88645,                0.99222,                0.98941,                0.99477,                0.81476,                 0.8167,                0.27095,                0.95033,               0.000892,               0.000892,               0.000892
                     48,                 0.5462,                0.22897,                0.88413,                0.99217,                0.98964,                0.99478,                0.81433,                0.81645,                0.27076,                 0.9504,               0.000694,               0.000694,               0.000694
                     49,                0.53712,                0.22379,                0.87923,                0.99174,                0.98941,                0.99477,                0.81452,                0.81709,                0.27147,                0.95052,               0.000496,               0.000496,               0.000496
